Last data fetched on:

 01.06.2022, 15:58
 03.06.2022, 15:52
 03.06.2022, 15:53
 03.06.2022, 18:27
 04.06.2022, 01:54
 04.06.2022, 06:26
 04.06.2022, 12:36
 04.06.2022, 18:26
 05.06.2022, 02:07
 05.06.2022, 06:27
 05.06.2022, 12:38
 06.06.2022, 02:05
 06.06.2022, 06:30
 06.06.2022, 12:49
 06.06.2022, 18:28
 07.06.2022, 02:00
 07.06.2022, 06:29
 07.06.2022, 12:48
 07.06.2022, 18:27
 08.06.2022, 02:00
 08.06.2022, 06:28
 08.06.2022, 12:51
 08.06.2022, 18:28
 09.06.2022, 02:03
 09.06.2022, 06:29
 09.06.2022, 12:49
 09.06.2022, 18:28
 10.06.2022, 02:08
 10.06.2022, 06:28
 10.06.2022, 12:49
 10.06.2022, 18:34
 11.06.2022, 02:01
 11.06.2022, 06:27
 11.06.2022, 12:39
 11.06.2022, 18:26
 12.06.2022, 02:20
